11229	381	2981	23.9534	29.7508	1759	15.2159	6	524	8	58	11	6	1.00598e+06	6.22975e-05	0.2797	
11141	368	3037	17.3101	24.9432	1716	18.6787	6	520	16	65	31	5	1.15357e+06	5.44188e-05	0.2775	
10029	384	2965	21.3102	23.5502	1716	18.2754	6	530	4	57	19	3	1.12602e+06	6.49519e-05	0.1248	
10897	345	2970	20.6736	28.2183	1834	15.5443	6	533	11	67	50	3	1.07547e+06	6.17932e-05	0.1888	
11246	336	3015	17.772	23.117	1782	16.1298	7	519	7	65	34	4	1.16075e+06	5.20129e-05	0.3725	
11209	361	3005	22.449	29.1561	1763	16.3101	6	522	17	66	67	3	1.02873e+06	6.19387e-05	0.2352	
10643	373	2992	24.4782	24.9749	1802	17.851	8	523	9	58	72	4	1.05339e+06	6.42013e-05	0.1984	
10950	369	2970	17.5789	27.3753	1886	16.7621	8	534	17	57	15	3	1.1299e+06	5.77334e-05	0.2003	
11287	347	3030	15.4966	25.4642	1797	16.4585	7	533	3	66	33	5	1.23672e+06	5.31915e-05	0.278	
11440	399	2954	22.3114	22.0217	1720	15.6874	8	524	17	71	48	6	1.04014e+06	5.31858e-05	0.3978	
11395	343	3049	18.6981	22.6332	1878	17.0584	8	534	7	84	24	6	1.12546e+06	5.04643e-05	0.3875	
10019	311	3042	17.9084	23.2998	1757	18.4694	7	527	3	56	19	5	1.2436e+06	6.20463e-05	0.1096	
10723	394	3004	20.2061	24.7238	1806	18.7862	9	532	19	69	75	3	1.09555e+06	6.13121e-05	0.1936	
10219	374	2973	16.9094	25.4291	1872	15.3191	7	527	12	61	7	6	1.21841e+06	6.05877e-05	0.1521	
10831	309	3005	16.4565	24.5252	1854	14.4928	5	522	17	56	24	3	1.23695e+06	5.48878e-05	0.238	
11016	371	3044	21.4673	21.2168	1890	18.677	6	516	12	56	63	5	1.09677e+06	5.44781e-05	0.3288	
11197	333	2992	15.7467	22.0299	1758	14.1876	9	523	16	58	62	6	1.25879e+06	5.21023e-05	0.2976	
11076	276	2995	16.6886	24.5357	1822	14.3877	10	531	8	58	5	4	1.23939e+06	5.30842e-05	0.2677	
10699	283	3046	16.403	21.0738	1855	17.7051	5	528	20	58	59	4	1.30167e+06	5.46866e-05	0.2241	
10837	381	3050	19.8681	24.5115	1817	17.7625	9	528	19	75	40	4	1.09165e+06	5.71331e-05	0.2405	
11272	321	3042	15.954	20.6783	1772	15.008	7	517	15	57	18	3	1.26113e+06	4.82672e-05	0.4286	
10039	231	2965	20.8851	28.5146	1789	17.5397	5	523	2	55	7	3	1.22889e+06	6.86342e-05	0.1123	
11068	378	2950	22.7557	26.9638	1719	16.8661	10	527	3	81	67	4	1.02763e+06	6.14931e-05	0.2631	
10116	376	2977	24.1351	27.7075	1770	17.8176	5	513	5	56	60	4	1.0916e+06	7.18959e-05	0.137	
11405	368	3011	19.3222	23.2961	1900	14.9531	5	531	18	81	38	5	1.09741e+06	5.18618e-05	0.3788	
10655	269	3015	16.9773	25.9336	1759	15.693	5	534	17	68	8	4	1.25993e+06	5.76236e-05	0.1674	
11128	340	3048	24.701	26.1768	1719	18.8029	7	529	17	58	47	5	1.03474e+06	5.99161e-05	0.2538	
10585	328	2968	23.5377	29.1217	1725	16.3822	5	515	19	59	38	4	1.0705e+06	6.68628e-05	0.1816	
11206	364	3035	21.0557	20.7547	1701	15.2035	9	529	5	70	56	3	1.08174e+06	5.25293e-05	0.3742	
11016	390	3034	18.5088	22.9838	1795	15.7745	5	534	3	57	29	5	1.1249e+06	5.31576e-05	0.2849	
11400	397	3016	22.8145	26.3102	1845	16.6552	10	524	15	73	19	3	1.00135e+06	5.6123e-05	0.3397	
10921	344	3002	15.2572	21.6771	1730	15.1824	8	530	9	71	25	4	1.2829e+06	5.19049e-05	0.2658	
10328	378	3007	19.6481	25.6329	1767	16.3116	9	519	10	56	39	5	1.1286e+06	6.26056e-05	0.1505	
10383	195	2984	15.8095	24.6657	1818	15.2062	10	503	9	83	55	5	1.02876e+06	6.49477e-05	0.2284	
10893	351	2989	24.2765	29.9322	1728	16.7075	7	519	19	62	16	4	1.02876e+06	6.49477e-05	0.2284	
10257	342	3003	23.3307	28.3758	1744	16.1307	5	525	12	59	53	4	1.09765e+06	6.96767e-05	0.1282	
9979	114	3000	22.8354	24.0918	1865	18.76	4	499	8	59	65	4	1.10286e+06	5.33846e-05	0.3012	
11293	353	3021	19.507	22.5603	1714	14.5609	9	530	17	67	67	4	1.10286e+06	5.33846e-05	0.3012	
11015	373	2992	24.4781	24.9749	1783	18.027	8	519	5	58	65	4	1.03051e+06	6.04558e-05	0.281	
10613	387	3049	23.2711	30	1720	17.8887	6	516	9	60	22	4	1.04367e+06	6.60197e-05	0.1991	
10194	393	2995	24.0491	23.4735	1816	14.7427	8	505	6	61	37	5	1.13273e+06	6.47962e-05	0.1267	
10029	362	2965	21.3102	23.5502	1774	18.2754	6	530	4	57	19	3	1.13273e+06	6.47962e-05	0.1267	
11395	343	3049	18.6981	22.9312	1878	17.0584	8	534	7	84	23	6	1.12327e+06	5.06997e-05	0.3848	
10813	350	2971	20.2543	23.8408	1816	15.0719	8	513	14	72	43	6	1.25805e+06	5.22603e-05	0.2973	
